hierarchy_id,child_id,parent_id
201,E01004165,E02000844
201,E01004169,E02000843
201,E01004174,E02000856
201,E01004170,E02000856
201,E01004175,E02000849
201,E01004171,E02000849
201,E01004176,E02000849
201,E01004172,E02000849
201,E01004173,E02000849
201,E01004177,E02000859
201,E01004179,E02000856
201,E01004181,E02000859
201,E01004180,E02000859
201,E01004178,E02000856
201,E01004182,E02000858
201,E01004185,E02000840
201,E01004186,E02000843
201,E01004184,E02000840
201,E01004183,E02000840
201,E01004187,E02000844
201,E01004188,E02000843
201,E01004189,E02000840
201,E01004195,E02000845
201,E01004193,E02000845
201,E01004190,E02000847
201,E01004196,E02000847
201,E01004191,E02000847
201,E01004192,E02000845
201,E01004194,E02000847
201,E01004198,E02000865
201,E01004201,E02000865
201,E01004197,E02000865
201,E01004200,E02000868
201,E01004199,E02000865
201,E01004204,E02000868
201,E01004203,E02000868
201,E01004202,E02000868
201,E01004208,E02000876
201,E01004205,E02000876
201,E01004211,E02000876
201,E01004212,E02000874
201,E01004207,E02000874
201,E01004206,E02000876
201,E01004209,E02000874
201,E01032787,E02000874
201,E01004218,E02000893
201,E01004217,E02000893
201,E01004221,E02000891
201,E01004215,E02000891
201,E01004216,E02000893
201,E01004219,E02000891
201,E01032780,E02000891
201,E01004214,E02000893
201,E01004222,E02000864
201,E01032784,E02000867
201,E01004226,E02000864
201,E01004225,E02000867
201,E01004223,E02000864
201,E01004224,E02000864
201,E01004233,E02000866
201,E01004234,E02000866
201,E01004228,E02000866
201,E01004229,E02000867
201,E01004232,E02000866
201,E01004231,E02000867
201,E01004230,E02000866
201,E01004241,E02000875
201,E01004242,E02000875
201,E01004237,E02000871
201,E01004240,E02000875
201,E01004239,E02000871
201,E01004238,E02000871
201,E01004235,E02000871
201,E01004236,E02000871
201,E01004247,E02000883
201,E01004246,E02000881
201,E01004249,E02000881
201,E01004244,E02000883
201,E01004243,E02000883
201,E01004245,E02000881
201,E01004248,E02000881
201,E01004250,E02000883
201,E01004256,E02000887
201,E01004258,E02000886
201,E01004257,E02000887
201,E01004253,E02000887
201,E01004254,E02000886
201,E01004255,E02000886
201,E01004252,E02000887
201,E01004251,E02000886
201,E01004264,E02000873
201,E01004266,E02000870
201,E01004263,E02000870
201,E01004262,E02000873
201,E01004261,E02000873
201,E01032786,E02000873
201,E01004259,E02000870
201,E01004260,E02000870
201,E01004270,E02000877
201,E01004267,E02000875
201,E01004269,E02000877
201,E01004271,E02000877
201,E01004272,E02000877
201,E01004273,E02000877
201,E01004268,E02000875
201,E01004277,E02006854
201,E01032783,E02000894
201,E01004281,E02000894
201,E01004275,E02000894
201,E01004274,E02000894
201,E01004276,E02000894
201,E01032781,E02006854
201,E01032772,E02006853
201,E01032774,E02006853
201,E01004280,E02006853
201,E01004286,E02000882
201,E01004288,E02000882
201,E01004290,E02000879
201,E01004283,E02000879
201,E01004289,E02000879
201,E01004285,E02000882
201,E01004287,E02000879
201,E01004294,E02000889
201,E01004297,E02000890
201,E01004296,E02000889
201,E01004292,E02000889
201,E01004291,E02000890
201,E01004293,E02000890
201,E01004295,E02000889
201,E01004304,E02000885
201,E01004300,E02000885
201,E01004298,E02000885
201,E01004303,E02000888
201,E01004301,E02000888
201,E01032769,E02000888
201,E01004302,E02000888
201,E01032768,E02000888
201,E01004305,E02000885
201,E01004306,E02000878
201,E01004310,E02000878
201,E01004309,E02000878
201,E01004307,E02000878
201,E01004308,E02000878
